item_id,item_name,item_type,item_rarity,item_series,item_set,item_intro_chapter,item_intro_season,item_added
Backpack_AbstractMirror,Metal Gear Mk. II,backpack,gaminglegends,Gaming Legends Series,Sneaking,5,1,2024-01-23T13:34:48Z
Backpack_AccentWall,Lil Kraken,backpack,rare,,Pirates of the Caribbean,5,3,2024-07-17T00:00:00Z
Backpack_AgarBelly,Your Best Friend Gummigoo,backpack,rare,,The Amazing Digital Circus,7,3,2026-06-12T13:01:03Z
Backpack_AgarBelly_Guitar,The Jester Jammer,backpack,rare,,The Amazing Digital Circus,7,3,2026-06-12T13:01:03Z
Backpack_AgedChasm,Scorpius Ops Pack,backpack,rare,,Scorpius Corp,6,4,2025-06-18T08:00:00Z
Backpack_AgentAceHeart,Tekk Pack,backpack,rare,,,5,4,2024-09-04T14:57:46Z
Backpack_AgentSherbert,Cazadora Wings,backpack,epic,,Dynamo Voladora,4,3,2023-06-12T21:47:52Z
Backpack_AgentXKoi,Undertow,backpack,epic,,Koi Kingdom,4,2,2023-04-11T10:06:45Z
Backpack_AgileRug,Arc Counter,backpack,marvel,MARVEL SERIES,Iron Legion,6,1,2025-02-12T14:32:57Z
Backpack_AirKringle,Flakey's Snowbag,backpack,rare,,Flying North,6,1,2024-12-18T12:19:13Z
Backpack_AkimboEnvoy,Starbrite Pack,backpack,uncommon,,Operation Brite,5,2,2024-02-22T11:00:40Z
Backpack_Alchemy_Bass,Serpent's Eye,backpack,rare,,Mystical Might,,,2025-02-15T00:00:00Z
Backpack_Alchemy_Drum,Potion Master,backpack,rare,,Mystical Might,,,2025-02-15T00:00:00Z
Backpack_Alchemy_Guitar,Astral Eye,backpack,rare,,Mystical Might,,,2025-02-15T00:00:00Z
Backpack_Alchemy_Keytar,Jade Dragon Blade,backpack,rare,,Mystical Might,,,2025-02-11T00:00:00Z
Backpack_Alchemy_Mic,Elix Vox,backpack,rare,,Mystical Might,,,2025-02-03T00:00:00Z
Backpack_AlderOptic,Sommerset's Cat Kit,backpack,icon,Icon Series,Triple Threat,7,2,2026-04-16T08:20:44Z
Backpack_AllKnowing,Dark Grasp,backpack,rare,,Hand of Malice,3,4,2022-10-04T09:01:34Z
Backpack_AlmondSplash,That's Cold Jac!,backpack,icon,Icon Series,Snoop on a Stoop,6,1,2024-12-20T20:25:57Z
Backpack_AlmondSplash_Bass,Snoop's Holladizzle Bass,backpack,icon,Icon Series,Snoop on a Stoop,,,2025-05-22T01:55:14Z
Backpack_AlpacaLean_Bass,Wick's Axe,backpack,rare,,John Wick,7,3,2026-06-06T03:03:15Z
Backpack_AlpacaLean_Gel,Oath Marker,backpack,rare,,John Wick (Pen & Ink),7,3,2026-06-06T03:03:15Z
Backpack_Amour,Folly's Heartcase,backpack,rare,,Court of Love,4,1,2023-02-14T09:00:00Z
Backpack_AncientLeer,Kodama's Hollow,backpack,rare,,Kodama's Curse,6,5,2025-09-10T08:18:34Z
Backpack_AncientLeer_Mic,Leaf Vocalist,backpack,rare,,,6,5,2025-09-10T08:18:34Z
Backpack_AnglePatch_Cape_NPC,TBD,backpack,rare,,,,,2024-10-01T08:27:32Z
Backpack_AnglePatch_Lodge_Cape,Doom's Cloak,backpack,marvel,MARVEL SERIES,Doom of Latveria,5,4,2024-08-17T06:38:59Z
Backpack_AnodizedMetal,Shadow Hyotan,backpack,rare,CREW SERIES,Shadow of the Masks,6,1,2025-01-14T09:36:24Z
Backpack_AntiPesto,Spider's Eye,backpack,rare,,Spyder Agency,6,4,2025-07-29T08:28:45Z
Backpack_AntiZappo,Spyder Shield,backpack,rare,,Spyder Agency,6,4,2025-07-29T08:28:45Z
Backpack_AnvilAlarmMoth,Dopamine Blades,backpack,icon,Icon Series,Lil Tecca,7,3,2026-07-30T08:00:00Z
Backpack_AnvilAlarmMoth_DrumStick,Dopamine Drumkit,backpack,icon,Icon Series,Lil Tecca,7,3,2026-07-30T13:11:09Z
Backpack_AnvilAlarmMoth_Guitar,Tecca's Cage,backpack,icon,Icon Series,Lil Tecca,7,3,2026-07-30T13:11:09Z
Backpack_AnvilAlarmMoth_Mic,Tecca's Dopa-mic,backpack,icon,Icon Series,Lil Tecca,7,3,2026-07-30T13:11:09Z
Backpack_AnvilAlarmRobin,Tecca's World,backpack,icon,Icon Series,Lil Tecca,7,3,2026-07-30T13:11:09Z
Backpack_AnvilAlarmRobin_Mic,Lil World Mic,backpack,icon,Icon Series,Lil Tecca,7,3,2026-07-30T08:00:00Z
Backpack_ApplePound,Playful Cloud,backpack,rare,,Jujutsu Kaisen,6,1,2025-02-08T00:00:00Z
Backpack_Apprentice,Mind's Eye,backpack,legendary,,Sight Beyond,4,1,2022-12-04T18:22:30Z
Backpack_AquaPeony,Tidal Floatie,backpack,rare,,Surf Scout,6,5,2025-08-07T09:33:19Z
Backpack_ArcanaAgate,Daphne's Mystery Locket,backpack,rare,,Mystery Inc.,6,5,2025-10-10T14:25:13Z
Backpack_ArcticIceBlue,Gohan's Cape,backpack,legendary,,Dragon Ball,4,1,2023-01-31T09:00:00Z
Backpack_ArcticIceTalus,Piccolo's Cape and Turban,backpack,legendary,,Dragon Ball,4,1,2023-01-31T09:00:00Z
Backpack_ArcticIceTalus_Symbol,Piccolo's Demon Symbol,backpack,legendary,,Dragon Ball,4,1,2023-01-31T09:00:00Z
Backpack_ArmyFlour,Genos' Core,backpack,rare,,One-Punch Man,6,5,2025-08-27T16:19:21Z
Backpack_AshenMagnus,Killswitch Drone,backpack,rare,,One Man Army,6,4,2025-06-07T19:01:48Z
Backpack_AsterOrder,Blossom Backpack,backpack,rare,,Flowering Chaos,6,6,2025-11-02T20:05:32Z
Backpack_AsterOrder_Guitar,Petal's Edge,backpack,rare,,Flowering Chaos,6,6,2025-11-02T20:05:32Z
Backpack_AsterOrder_Mic,Blue Bloom,backpack,rare,,Flowering Chaos,6,6,2025-11-02T20:05:32Z
Backpack_AstralLilac,Outfielder's Kit,backpack,rare,,Supernova Academy,6,4,2025-07-15T08:18:07Z
Backpack_AuraCop,Outlaw's Knife Rack,backpack,rare,,Golden Gunslinger,6,2,2025-03-11T08:32:47Z
Backpack_AuricVine,Sun Sign,backpack,uncommon,,,4,3,2023-07-29T05:32:56Z
Backpack_AuroraOwl,Mark 1 Arc Reactor,backpack,marvel,MARVEL SERIES,MCU Avengers,7,2,2026-03-20T00:00:00Z
Backpack_AutumnDelivery,Destined Aegis,backpack,rare,,Fate-Carved Warrior,5,2,2024-05-05T16:03:20Z
Backpack_AutumnFern,Loot Piggy,backpack,rare,,The Games,6,5,2025-08-26T08:00:00Z
Backpack_AvenuePole,PAC-MAN's Snacks,backpack,gaminglegends,Gaming Legends Series,Pac-Man,7,4,2026-09-18T13:01:02Z
Backpack_AvocadoSeal,B.E.A.S.T. Armorplate,backpack,rare,,Monarch's Titans,6,1,2025-01-15T14:05:32Z
Backpack_AzureBlade,Opaline Scabbard,backpack,rare,,Shining Sentinel,6,3,2025-05-16T08:50:37Z
Backpack_BackAbsorb,Durrr-oyale Burger,backpack,rare,,Wallace Organization,7,1,2025-12-31T00:00:00Z
Backpack_BadCat,Badwheel,backpack,rare,,Mad Mecha,6,2,2025-04-08T08:41:18Z
Backpack_BadgeAgave,Abommy,backpack,rare,,,7,1,2026-01-24T00:00:00Z
Backpack_BakerStep,Oink Lid,backpack,rare,,TMNT,6,2,2025-04-22T15:52:48Z
Backpack_BakerStep_Drum,Bebop Beats,backpack,rare,,TMNT,,,2025-04-23T00:00:00Z
Backpack_BaldAble,Anakin's Model Interceptor,backpack,starwars,Star Wars Series,The Prequel Trilogy,6,3,2025-05-02T13:15:59Z
Backpack_Ballerina,Flurry Flutters,backpack,rare,,Fae Ballet,4,1,2022-12-13T10:43:37Z
Backpack_Ballerina_Honey,Floral Flutters,backpack,rare,,Fae Ballet,5,2,2024-05-04T00:00:00Z
Backpack_BalletAssassin,Coupé Sash,backpack,rare,,Perfect Execution,5,2,2024-02-22T11:00:40Z
Backpack_BalloonDish_Bass,Omni-Man Bass,backpack,rare,,Guardians of the Globe,,,2025-03-12T00:00:00Z
Backpack_BalloonDish_Guitar,Invincible Shredder,backpack,rare,,Guardians of the Globe,,,2025-03-12T00:00:00Z
Backpack_BananaAdventure,Nana Compass,backpack,epic,,Nana Quest,5,1,2023-12-04T16:12:17Z
Backpack_BananaPhilosopher,NaNa Scroll,backpack,uncommon,,Bananontology,5,2,2024-04-23T08:26:50Z
Backpack_BandageTime_Guitar,Strummy Mummy,backpack,rare,,,,,2025-03-27T00:00:00Z
Backpack_BariumDemon,Soul Shroud,backpack,rare,,Voracious Velocity,4,1,2022-12-13T10:43:37Z
Backpack_Basil,Gamma Chamber,backpack,marvel,MARVEL SERIES,Hulk,4,1,2022-12-07T18:54:45Z
Backpack_BasketSuburb,Isaac,backpack,gaminglegends,Gaming Legends Series,Isaac Unbound,6,5,2025-09-12T00:00:00Z
Backpack_BaskIsle,Sarah Ravencroft's Spellbook,backpack,rare,,Mystery Inc.,6,5,2025-10-10T14:25:13Z
Backpack_BatterBoi,Bun Buds,backpack,rare,,Pure Bread,6,1,2024-12-18T12:19:13Z
Backpack_BatterBoi_Bass,Honeybun Bass,backpack,rare,,,,,2025-03-07T00:00:00Z
Backpack_BeaverStage,Agamemnon’s Shield,backpack,rare,,The Odyssey,7,3,2026-07-16T13:00:54Z
Backpack_BeetTread,Imperial Banner,backpack,starwars,Star Wars Series,Star Wars Samurai,6,1,2024-12-25T00:00:00Z
Backpack_Believer_Guitar,The Fret Basher,backpack,rare,,Escape Velocity,2,7,2025-05-22T01:55:14Z
Backpack_BengalBasher,Clawbox,backpack,epic,,Big Cat Brawler,5,1,2023-12-04T16:12:17Z
Backpack_BentBaton,Cheer Bag,backpack,rare,,Pep Monster,6,4,2025-06-07T19:01:48Z
Backpack_BerryFlight,Neo Tech Kit,backpack,rare,,Space Style,7,3,2026-06-25T12:03:20Z
Backpack_BerryTartBrunt,Ice Spice Mini,backpack,icon,Icon Series,Ice Spice,2,Remix,2024-11-13T10:14:32Z
Backpack_BerryTartRiver,Munchkin,backpack,icon,Icon Series,Ice Spice,2,Remix,2024-11-13T10:14:32Z
Backpack_BerryTart_Mic,Iced Out Mic,backpack,icon,Icon Series,Ice Spice,,,2025-01-26T00:00:00Z
Backpack_BikeMold,Energy Collector,backpack,marvel,MARVEL SERIES,Iron Man,5,4,2024-09-17T08:31:42Z
Backpack_BikeMold_Bass,Mark 45 Bass,backpack,marvel,MARVEL SERIES,Iron Man,,,2025-04-21T00:00:00Z
Backpack_BillyGold,Spade's Strongbox,backpack,rare,,Jack of All Spades,6,4,2025-06-18T09:06:01Z
Backpack_BiomeHose,Azmuth,backpack,rare,,Ben 10,7,2,2026-04-23T13:00:57Z
Backpack_BionicKitty,Hack Cat,backpack,rare,,M.E.O.W. Protocol,6,4,2025-07-15T08:18:07Z
Backpack_BionicSmoke,Drone Dock,backpack,rare,,Natural Constructor,5,2,2024-05-05T16:03:20Z
Backpack_BirchPalace,Igris' Cloak,backpack,gaminglegends,Gaming Legends Series,Solo Leveling:ARISE,7,1,2026-02-19T10:00:25Z
Backpack_BirdNest,Tsukamoto Bear,backpack,epic,,Jujutsu Kaisen,4,3,2023-08-11T14:36:17Z
Backpack_BirdNestGreen,Winged Toad Summon,backpack,rare,,Jujutsu Kaisen,4,3,2023-08-11T14:36:17Z
Backpack_BiruFang,Kinesis Core,backpack,rare,,Kinetic Knight,4,3,2023-07-29T05:32:56Z
Backpack_BiscuitFluff,Bun Warmer,backpack,rare,,Cuddle Buns,6,1,2025-01-31T14:25:34Z
Backpack_BisonDrain,Portable Laugh Track,backpack,rare,,Beavis and Butt-Head,6,5,2025-09-04T14:20:58Z
Backpack_Bites,Stinger Pack,backpack,epic,,Into Nothing,3,4,2022-09-18T10:05:15Z
Backpack_BitFight,Skelly Bitz,backpack,rare,,Bright Bytes,6,5,2025-08-26T08:18:15Z
Backpack_BitterSweet,Artillery Cooler,backpack,rare,,Pina Collateral,6,3,2025-05-02T13:15:59Z
Backpack_BlazerVeil,Clutch & Dagger,backpack,epic,,Masqued Maven,4,4,2023-08-25T17:49:31Z
Backpack_BlessFlan,Swords of Fire and Steel,backpack,rare,,LEGO NINJAGO®,7,1,2025-12-11T16:07:07Z
Backpack_BlobRock,Homegrown Gym,backpack,rare,,Veggie Maxer,7,1,2026-01-09T09:35:34Z
Backpack_BlobRock_Mic,Shweat Serenade,backpack,rare,,Veggie Maxer,7,1,2026-01-09T09:35:34Z
Backpack_Blob_Guitar,Slurp Blaster,backpack,rare,,Slurple Haze,,,2025-05-22T01:55:14Z
Backpack_BlockStack,Item Block,backpack,rare,,Build-A-Ville,7,4,2026-08-21T15:01:57Z
Backpack_BlondeJaw,Godzilla's Exo-Spine,backpack,rare,,Monarch's Titans,6,1,2025-01-14T09:36:24Z
Backpack_BlowWire,Yule Bag,backpack,rare,,Team Festive,6,1,2024-12-18T12:19:13Z
Backpack_BlueGlaze,SlipStream Logo,backpack,rare,,SlipStream United,4,1,2023-02-03T01:02:06Z
Backpack_BlueJet,Burning Ember Holster,backpack,rare,,Blue Phoenix,3,4,2022-11-15T10:41:18Z
Backpack_BlueMonday,Gothic Lapin,backpack,rare,,Inner Storm,7,1,2025-11-29T20:57:37Z
Backpack_BlueMystery_Dark,Black Ops Backplate,backpack,epic,,Agency Renegades,3,4,2022-10-04T09:01:34Z
Backpack_BluntWhimsy,Gumball Gun,backpack,rare,CREW SERIES,Sweet & Spiky,6,3,2025-05-16T08:50:37Z
Backpack_BoldDormMum,Lion Shield,backpack,icon,Icon Series,CouRage,7,1,2025-12-11T16:07:07Z
Backpack_BoldDormWork,Courage Shield,backpack,icon,Icon Series,CouRage,7,1,2025-12-11T16:07:07Z
Backpack_BoldTouch,Lucky Cat,backpack,rare,,Cat Gamer,6,5,2025-09-18T13:08:36Z
Backpack_BombaToon_Bass,Four String Frankie,backpack,rare,,Inkville Gang,7,2,2026-05-14T10:11:56Z
Backpack_BoneMarrow,Holo-Glow,backpack,rare,,Amano's Heart,4,2,2023-05-21T00:00:00Z
Backpack_BoomShot,Back-Mounted Bombs Away,backpack,rare,,KABOOM!,2,Remix,2024-11-02T17:09:31Z
Backpack_Booster,Engineer's Toolpack,backpack,rare,,Genius Creator,6,2,2025-03-11T08:32:47Z
Backpack_Boredom,Diabolic Deck,backpack,rare,,Music Fiend,3,4,2022-10-18T23:49:57Z
Backpack_Boredom_Guitar,Wicked Axe,backpack,rare,,Music Fiend,3,4,2025-05-22T01:55:14Z
Backpack_BountyPond,Sussie,backpack,icon,Icon Series,KPop Demon Hunters,7,1,2026-02-05T15:01:36Z
Backpack_BrainMatter,ToughEST Shield,backpack,epic,,Bianca Belair,4,3,2023-08-15T22:07:45Z
Backpack_BrakePedal,Groot's Gamepad,backpack,marvel,MARVEL SERIES,Guardians Of The Galaxy,5,2,2024-03-26T08:30:33Z
Backpack_BraveBuild,Raven's Stare,backpack,icon,Icon Series,Eminem,4,OG,2023-11-28T15:26:41Z
Backpack_BrawnGraze,Ducky Momo Plushie,backpack,rare,,Phineas and Ferb,7,2,2026-04-02T16:00:41Z
Backpack_BrawnGraze_Guitar,Agent G Sharp,backpack,rare,,Phineas and Ferb,7,2,2026-04-03T13:00:30Z
Backpack_BrawnyBass,Powder Keg,backpack,epic,,Buffer Fish,4,4,2023-08-25T17:49:31Z
Backpack_BrightBuckles,Snowshadow Slingpack,backpack,rare,,Snowy Stealth,6,1,2024-12-18T12:19:13Z
Backpack_BrightIon,Traveler-Class Tekpack,backpack,rare,,Neutron Repair,5,1,2024-01-23T13:34:48Z
Backpack_BrineGleam,Bunny Hops,backpack,rare,,Looney Tunes,7,2,2026-03-24T16:00:55Z
Backpack_BriskReign,Exalted Mantle,backpack,rare,,Ice Kingdom,7,2,2026-03-19T06:29:28Z
Backpack_BroadPoodle_Drum,LPFZ KIT,backpack,icon,Icon Series,Linkin Park,,,2025-03-28T00:00:00Z
Backpack_BroadPoodle_Guitar,LPFZ GUITAR,backpack,icon,Icon Series,Linkin Park,,,2025-03-28T00:00:00Z
Backpack_BrokenGravel,Valor Team Tactical Pack,backpack,rare,,Valor Strike: Global Frontier,7,4,2026-08-21T15:01:57Z
Backpack_BrutalBurglar,Lady Marigold's Cape,backpack,rare,,Golden Revenant,6,5,2025-10-09T08:45:50Z
Backpack_BucketKick,Haunted Helm,backpack,rare,,Nightmare Blade,5,4,2024-10-01T08:27:32Z
Backpack_BudBlossom,Rosalind's Rose Bag,backpack,rare,,Roses & Ruin,7,2,2026-03-19T06:29:28Z
Backpack_BuffBeak,Aerie's Attaché,backpack,rare,,Feathered Freedom,5,4,2024-09-17T08:31:42Z
Backpack_BuffCatCruise,Calico-conut,backpack,epic,,Taste of Purradise,4,3,2023-06-12T21:47:52Z
Backpack_BugBeliever,Bug-Out Bag,backpack,rare,,Don't Believe,6,5,2025-09-10T08:18:34Z
Backpack_Bulb_Bass,Wicked Point,backpack,rare,,,,,2025-05-22T01:55:14Z
Backpack_BullKeynote,Sasamekojaku,backpack,rare,,BLEACH: TYBW,7,1,2025-12-18T18:46:20Z
Backpack_BurntBagel,Town Signpost,backpack,rare,,The Pumpkin King,5,4,2024-10-12T06:22:57Z
Backpack_ButterPlate,Proton Exo-Boosters,backpack,rare,,Monarch's Titans,6,1,2025-01-15T14:05:32Z
Backpack_ButterVehicle,Sir Beurre,backpack,uncommon,,,5,4,2023-06-27T12:21:59Z
Backpack_ButtonCase,Nightmare Mantle,backpack,rare,,Cody Rhodes,6,2,2025-04-17T19:17:39Z
Backpack_ButtonChild,Stitched Shadowsock,backpack,rare,,Night of the Monkey,5,4,2024-10-01T08:27:32Z
Backpack_ByteGear,Game King's Cabinet,backpack,rare,,Game King,6,4,2025-07-15T08:18:07Z
Backpack_CabbageSugar,Allen's Tracking Device,backpack,rare,,Guardians of the Globe,6,2,2025-03-11T16:03:28Z
Backpack_CactusRocker_Guitar,Festival Shredder,backpack,rare,,Coachella,3,2,2025-04-17T00:00:00Z
Backpack_CadetFrog,Pond Jet,backpack,rare,,Pond Protector,7,3,2026-07-30T13:11:09Z
Backpack_CafeStove,Kikoru's Scaled Slingbag,backpack,rare,,Kaiju No. 8,6,1,2025-01-25T00:00:00Z
Backpack_CajunTaco,Hambo,backpack,rare,,Adventure Time,6,2,2025-04-10T14:02:44Z
Backpack_CajunTaco_Bass,Marcy's Ax Bass,backpack,rare,,Adventure Time,,,2025-04-12T00:00:00Z
Backpack_Calavera,Vihuela de los Muertos,backpack,rare,,Rest In Peace,3,4,2022-11-01T13:50:36Z
Backpack_CalmShimmer,Amber Shell,backpack,rare,,TKO,6,2,2025-04-22T15:52:48Z
